,Tobin's Q,EPS,Liquidity,Profitability,Productivity,Leverage Ratio,Asset Turnover,Operational Margin,Return on Equity,Market Book Ratio,Assets Growth,Sales Growth,Employee Growth,BK
49607,0.803140445,0.000906329,-0.5336555,0.226991946,0.047164729,0.001880011,1.649043434,0.059158126,0.003210874,-0.017702836,-0.311101,-0.039194237,0.028281542,0
84060,1.218628015,-0.0011059,1.16309361,0.0907504,0.034002532,-7.44E-05,-0.431235543,0.057102678,0.003014836,-0.019253679,0.111987539,0.085828399,0.53968033,0
48588,-0.037623466,0.001557603,-0.107048113,0.137898288,0.037907609,0.003867348,0.942587116,0.057102678,0.003178165,0.001648652,0.848561101,0.284793334,0.46651129,0
86129,-0.517674861,-0.000403883,0.6249718,0.143455024,0.037907609,0.007222107,-0.192240381,0.061934119,0.003243596,-0.015649874,-0.221780088,-0.128322539,-0.005413778,0
72266,1.52354163,-0.001433545,2.104295455,-0.427150344,-0.016110939,-7.44E-05,-0.75533769,-0.117054088,0.002591839,0.009366057,0.057785345,-0.449925007,-0.068664026,0
81209,0.319669658,0.003663344,-0.190681964,0.110591501,0.04053226,0.003107823,-0.665708746,0.083196427,0.003309082,-0.015070361,3.197049016,0.695028255,0.944096401,0
43818,-0.080940702,-0.000252248,0.475689012,0.13516164,0.039874539,0.001103939,0.364929125,0.05984836,0.003178165,-0.021643001,0.770487158,0.381015156,0.890785907,0
12153,-1.002665625,-0.00016646,0.781801757,0.204863704,0.037907609,0.000947853,-0.134825034,0.060541113,0.003210874,-0.022736651,0.062973802,-0.193838051,-0.068664026,0
27972,0.744152372,-0.001878495,0.988696951,0.129772726,0.035950198,0.00039912,-0.050271517,0.058470425,0.002949606,-0.018647774,1.021316947,0.342437085,1.084470307,0
13357,0.177029557,0.003926738,-0.466516845,0.175948285,0.038562205,0.004320393,-0.173005679,0.062634343,0.003210874,0.015048298,-0.007349466,-0.066969194,0.0007313,0
56989,-0.125743285,-0.001372376,-0.658027619,0.060522064,0.026310506,0.017468547,1.596157123,0.052397313,0.002397364,-0.018048972,0.140406076,-0.046003542,1.250988438,0
64189,-0.488014109,-0.001468344,1.63471512,0.27994757,0.030137148,-7.44E-05,-0.514615567,0.049112667,0.002949606,0.037106442,-0.694657786,-0.297672483,0.012857358,0
17008,1.51005811,0.002517485,-0.395975787,0.211563173,0.047164729,0.001337512,-0.040988174,0.071225539,0.003145471,0.564037991,0.03920048,0.05779501,0.215048641,0
10432,-0.308335401,0.000238178,0.702433322,0.209879132,0.035950198,-7.44E-05,0.423487287,0.057102678,0.003145471,-0.022079499,0.055826742,-0.119112498,-0.164678569,0
51498,2.27842717,-0.001275511,-2.966325696,-2.190617912,-0.929164969,-0.001593586,-0.687878272,-1.394915007,0.00107923,-0.050449017,-3.180005663,-1.032069956,-2.629259515,0
13594,-1.610770853,-0.001615091,0.199117216,0.128443219,0.026945696,0.001880011,-0.192240381,0.047170584,0.002462139,-0.022793546,0.128912561,-0.024472743,-0.321245076,0
79793,-0.502772782,-0.000403883,-0.049220379,0.008594785,0.03725407,0.024759503,-0.0689039,0.05984836,0.003670198,-0.015453308,-0.067046366,-0.172730069,-0.445644304,0
30271,-0.232380078,-0.001150809,1.439860339,0.121903273,0.039217851,0.005370249,1.798578273,0.056422662,0.003178165,-0.022388277,0.159637888,0.095080165,-0.31702041,0
59327,0.551853712,-0.000657003,-0.677523131,0.172862512,0.039217851,0.004621364,0.905114078,0.05778527,0.003145471,-0.021402555,-0.163197778,-0.112453256,-0.226651366,0
76795,-0.594409312,-0.00361915,-0.419872007,0.121903273,0.034650657,0.012776784,-0.004069974,0.056422662,0.000983432,-0.019191494,-0.881594909,-0.157180998,-0.387493658,0
34117,-0.334584415,0.000491888,-0.576560433,0.160780025,0.03725407,0.001570432,-0.319739523,0.061934119,0.003210874,0.057583289,0.007334519,-0.077849908,0.108219113,0
34789,0.558116276,-0.001132868,0.333791737,0.084159124,0.035299882,0.0034883,0.44007976,0.056422662,0.003243596,-0.020396341,-0.305925259,0.006181025,0.67216485,0
2163,1.316122609,0.000946075,1.074896983,0.185359675,0.053215972,-7.44E-05,-0.059576703,0.078640633,0.003178165,-0.016802751,0.672320095,0.170715486,0.526939878,0
3622,-0.502772782,0.005591886,-0.638192172,0.171329334,0.041850775,0.002725861,0.530280721,0.060541113,0.003505861,0.220906641,-0.22520821,0.121945711,-0.258712794,0
8524,-0.172106857,-0.0008512,0.01028923,0.151996033,0.038562205,0.003031552,0.448353378,0.058470425,0.003080125,-0.019137567,-0.156290078,-0.079504403,0.325172287,0
73982,-0.982751565,-0.00084201,-0.752281882,0.120616985,0.035950198,0.011209755,-0.250541321,0.059158126,0.003276332,-0.011204335,-0.129350638,-0.016757054,0.003664861,0
85622,0.034818335,0.000160588,-0.555291574,0.114295542,0.037907609,0.015661146,0.322627266,0.058470425,0.003145471,0.025727771,-0.019281967,-0.102657944,-0.141347146,0
7194,-0.642307931,0.002713785,-0.244396677,0.131109347,0.036601597,0.002419182,0.514010888,0.057102678,0.003309082,-0.020194394,0.138466054,-0.113008567,-0.175768583,0
30111,-0.924308643,-0.000814405,1.585214658,0.216651786,0.041191008,-7.44E-05,0.415168253,0.060541113,0.003407412,-0.022497564,-0.097443318,-0.111084674,-0.334296786,0
75284,0.093726937,-0.000544955,0.333791737,0.12449763,0.037907609,4.74E-06,0.032511536,0.05984836,0.003112791,-0.021726843,1.048391678,0.15897131,0.885931271,0
60386,0.074403409,-0.001528988,0.549397088,0.0907504,0.034002532,0.004320393,-0.013267569,0.055745239,0.002949606,-0.011100594,0.160771908,0.274235028,0.203942779,0
21187,1.108809629,0.006186972,-0.618007408,0.226991946,0.045830368,0.008174638,-0.535783082,0.087829691,0.003374622,0.958362785,0.750469574,-0.090741669,-0.256784797,0
78946,-1.084583128,-0.000933629,-0.019677113,0.109371435,0.035950198,0.006188494,-0.349803422,0.060541113,0.003145471,-0.018468929,-0.05454631,-0.109851675,-0.213380669,0
54289,-0.742581634,-0.001494373,-0.618007408,0.104561305,0.030778619,0.004996426,-0.535783082,0.050419193,0.002851868,-0.021565448,0.39896992,-0.036793828,0.265739228,0
67330,1.896924315,-0.001450958,-0.107048113,-0.839245658,-0.033343283,0.006632503,-0.040988174,-0.013431314,0.002462139,0.071712207,1.760490749,-0.459968042,1.792750026,0
35384,-0.148725023,-0.000498053,-0.618007408,0.128443219,0.04053226,0.015101768,-0.483110161,0.071956808,0.003243596,-0.021258537,0.896894685,0.29222644,1.300750916,0
5698,0.669826396,6.12E-06,-0.597464801,0.180625222,0.043173336,0.004018579,0.014262249,0.066172159,0.003145471,0.025825482,-0.376714335,-0.159849758,-0.068664026,0
32647,1.25960634,-0.000979201,1.207946823,-0.049083088,0.062084661,0.000947853,0.729078904,0.071225539,0.003374622,-0.022386342,0.760786826,0.693630923,0.308930641,0
53802,1.623055839,0.007432171,-0.217741683,0.397580187,0.086636641,0.007222107,0.964941191,0.080908719,0.003309082,0.014683548,-0.161628974,0.145262634,0.339754553,0
35957,1.819629331,0.000906329,-1.152096662,0.11554507,0.049173427,0.028363468,0.023397184,0.071956808,0.003080125,1.001842828,0.01517625,0.252042444,1.251102403,0
60630,1.620726086,-0.000469852,0.071501543,0.053773664,0.041191008,0.042587318,1.082578547,0.05778527,0.003080125,1.606651242,0.221678713,0.086676638,0.782322822,0
44061,1.202512764,0.00010255,-0.163214883,0.435938649,0.047164729,-7.44E-05,1.075302296,0.061236371,0.003145471,-0.01728371,-0.109503592,-0.0939357,-0.104757395,0
30406,-0.402363655,-0.000413321,-0.049220379,0.13516164,0.038562205,0.009048127,1.622658466,0.056422662,0.003243596,-0.019310517,0.956033174,0.349447085,1.379831341,0
76821,-0.444578622,-0.001132868,-0.658027619,0.109371435,0.035299882,0.061511598,-0.687878272,0.064749747,0.003047473,-0.013515304,0.891679281,0.181044288,1.404408839,0
43067,0.988627501,-0.003681411,1.735304172,-0.123308073,-0.006717901,-0.013804977,-1.016498266,0.054398229,0.000664668,-0.023556636,-1.562068496,-0.115213466,-0.068664026,0
79595,-1.170302701,-0.000860383,-0.576560433,0.097545252,0.037907609,0.003715897,0.08677363,0.05984836,0.003276332,-0.02134437,0.107705095,-0.157689342,0.07732572,0
15203,-0.402363655,0.003348663,0.863097147,0.204863704,0.045164639,0.000713153,0.431791093,0.063337032,0.003374622,-0.022508683,0.198474792,-0.013864063,0.2919431,0
72958,0.788775541,0.000423356,-1.199468564,0.023364988,0.039217851,-0.004792801,0.626734468,0.058470425,0.003440215,-0.043899544,1.876905827,0.073361954,0.681343518,0
70893,-0.831033292,-0.001159768,-0.576560433,0.111818802,0.036601597,0.014751343,-0.676774223,0.069045676,0.003080125,0.033021062,-0.312580018,-0.164296902,-0.298565244,0
80471,0.140724669,-0.001700612,-1.395103916,-0.328488228,-0.022483718,-0.012663531,1.240227574,0.031720404,-0.006408507,-0.023208666,-2.33329019,-0.738788859,-1.259468999,0
65048,1.049587923,-0.001310845,-0.347022339,0.057606828,0.030778619,0.002802376,-1.016498266,0.054398229,0.002949606,0.009300649,0.662073881,-0.115213466,0.0843639,0
26315,0.185932825,0.001984055,0.512310984,0.174402169,0.042511554,0.003107823,0.562651466,0.060541113,0.003243596,-0.019553879,0.123062614,-0.051109346,-0.349669254,0
33830,0.395687798,0.001587925,-0.696687749,0.281859457,0.041850775,0.008975539,-0.289922997,0.069045676,0.003178165,-0.016790592,-0.055746268,-0.057462844,0.131266845,0
8549,-0.578758732,-0.001195527,0.199117216,0.154897252,0.03725407,0.004245019,0.077779708,0.059158126,0.003309082,-0.022275548,0.211080543,0.293342645,0.972634047,0
35093,-0.812968982,0.001125493,-0.489270844,0.160780025,0.036601597,0.001880011,-0.221277389,0.05984836,0.003210874,-0.018306108,-0.040334775,-0.121725657,-0.034062238,0
8589,-0.759903677,-0.001141842,-0.190681964,0.106952558,0.03142118,0.001259728,0.279915916,0.053728666,0.003341845,-0.021901752,0.140960227,-0.259272218,-0.400577707,0
13590,-2.06371332,-0.001204447,0.781801757,0.144861458,0.03142118,-7.44E-05,-0.567786954,0.051076089,0.003080125,-0.022799328,-0.030161668,-0.211653586,0.268763034,0
26516,-0.924308643,-0.001177663,1.253306589,0.16376126,0.035299882,0.001957234,0.836962919,0.055745239,0.003112791,-0.0227188,0.134926493,-0.093775446,-0.214487663,0
19218,-0.517674861,0.002219285,-0.638192172,0.142055467,0.038562205,0.005220866,-0.493579617,0.067604168,0.003276332,-0.017658106,-0.135713372,-0.052942807,-0.103014583,0
25200,-1.214669706,-0.000814405,-0.696687749,0.128443219,0.035299882,0.006632503,-0.743992716,0.065459747,0.003112791,-0.021507762,0.143902522,-0.194655534,0.155235892,0
10329,0.064625763,-0.001042721,-0.597464801,0.132453055,0.036601597,0.000477748,1.502461444,0.055745239,0.003047473,-0.008045499,-0.618112753,-0.215430668,0.196761215,0
91129,-0.569540876,-0.004295878,-0.534263513,0.069888403,0.029262848,0.041892879,0.486307512,0.052055531,-0.006426772,-0.022907273,-1.188665292,-0.564929828,-0.944395877,0
53266,-0.257245402,-0.000951877,-0.217741683,-5.29E-05,0.037907609,0.029687219,-0.610945204,0.070496587,0.003243596,-0.004330395,0.295540038,-0.21532845,-1.035657081,0
1812,-0.517674861,0.000856711,-0.135337808,0.16376126,0.035299882,0.003031552,0.522152909,0.056422662,0.003178165,0.019704258,-0.156445051,-0.193815176,-0.118377973,0
50072,0.66427208,-0.001433545,2.442003728,-0.085022703,0.025676324,4.74E-06,-0.0689039,0.04588732,0.002884433,-0.021524244,-0.483276711,-0.570363549,-0.03368094,0
51633,2.256189646,-0.001275511,0.232117657,0.036335742,-0.009669736,-0.018161133,-1.016498266,0.054398229,0.002949606,-0.1128089,-5.362635622,-1.425826763,-5.878179256,0
89132,-0.406352822,-0.003103852,-1.465768835,0.070342013,0.022044292,-0.036741797,-0.079115899,0.042051117,-0.008116056,-0.022890584,-0.60732533,-0.226448219,-1.167579807,0
57322,0.054769653,-0.001302024,2.92398943,-0.204833379,0.020012338,-7.44E-05,-1.016498266,0.054398229,0.002624296,-0.022581177,-0.644529105,-0.115213466,-0.068664026,0
11917,0.459701784,0.001973854,0.368582545,0.230486537,0.041850775,0.009265675,-0.022486362,0.064749747,0.003210874,0.005498243,-0.047566794,-0.06994423,0.054641667,0
11789,-0.812968982,-0.000933629,0.265561849,0.174402169,0.041850775,0.005817258,0.122554907,0.063337032,0.003374622,-0.02259229,0.201753887,-0.177208528,0.509629055,0
33260,1.297901837,-0.001433545,-0.887947854,-0.241531327,-0.065505878,0.001103939,1.104348127,0.01131576,0.002138747,-0.020347799,-2.247503951,1.836474533,1.070696006,0
69623,1.223906361,-0.001275511,-0.419872007,-0.117477301,0.03142118,0.000162742,-0.472672627,0.051735452,0.002982214,-0.017031327,0.044635061,0.103429064,-0.068664026,0
9933,0.25478526,0.001215535,-0.443384797,0.147694872,0.038562205,0.004395714,0.158031529,0.05984836,0.003145471,-0.015645981,0.355267136,0.132694229,0.119838629,0
7355,-0.658597551,-0.000498053,-0.078343175,0.099858418,0.041191008,0.02710052,-0.022486362,0.064042171,0.003341845,-0.020758394,-0.485520198,0.207737428,-0.322351528,0
47596,-2.541338465,-0.001257795,1.942902661,0.156357934,0.043173336,0.001570432,1.427779416,0.058470425,0.008537955,-0.013194485,0.988699883,0.438687323,0.891139429,0
77451,0.237957695,-0.001275511,1.8380269,0.104561305,0.029496752,-7.44E-05,-0.514615567,0.046527825,0.002982214,-0.016650519,-1.359860343,-0.91699554,-2.238405573,0
48945,-1.126951727,-0.000722012,-0.466516845,0.136526468,0.034650657,-7.44E-05,1.386633565,0.055070423,0.003243596,-0.021538302,0.047723545,-0.088000395,0.016880106,0
70059,2.324821498,-0.001615091,1.942902661,-0.991010052,-0.321435843,-0.0091936,-1.016498266,0.054398229,0.002851868,-0.062337577,-1.345952299,-0.115213466,-0.068664026,0
46762,-0.517674861,-0.001177663,2.500250767,0.131109347,0.038562205,-7.44E-05,-0.431235543,0.06688697,0.003145471,-0.022470006,-0.092283206,0.255951347,0.294518503,0
88226,0.350726985,-0.001302024,0.863097147,-0.007688963,0.023779719,-7.44E-05,-1.016498266,0.054398229,0.002851868,-0.0171033,-0.312907089,-0.115213466,-2.296600508,0
46692,0.594854722,0.001527303,0.166557959,0.179059829,0.039217851,0.004921514,-0.400478113,0.06688697,0.003112791,0.167277269,-0.02311496,0.033955049,-0.273879207,0
26473,-1.260087929,-0.002741162,-0.443384797,0.13516164,0.034002532,0.021583675,-0.359880851,0.057102678,0.001367118,-0.022820521,-0.114770702,-0.05604082,-0.309334699,0
84760,-1.192357038,-0.001363609,-0.576560433,0.02676128,0.029496752,0.00172536,-0.632739499,0.043979051,0.002656766,-0.014922913,-0.460343663,-0.159696465,0.568134607,0
21763,-1.170302701,-0.003805577,-0.822269974,0.120616985,0.032709617,0.00991642,-0.643691801,0.055070423,0.002009717,-0.020611355,-0.001102473,-0.092492883,-0.349563907,0
75695,-0.006067482,0.001396263,0.134437314,0.083079256,0.052539926,0.003031552,0.095747974,0.074164397,0.003505861,-0.010087435,0.053457637,0.177416656,-0.029987163,0
32421,-0.308335401,0.001075564,0.586949852,0.180625222,0.03725407,0.002802376,0.497683896,0.057102678,0.003243596,-0.019924433,-0.051512989,-0.148550546,-0.205094745,0
27279,1.646703871,-0.001266658,-1.17608969,-0.301133876,0.025043139,0.006410696,0.546494038,0.049112667,0.002949606,-0.028728268,1.15217253,0.092017062,0.308930641,0
81516,0.246402791,-0.001222262,0.166557959,0.136526468,0.035299882,0.004320393,-0.040988174,0.05778527,0.003014836,-0.017903134,0.370200906,0.054859682,0.371323814,0
29452,-0.626181597,-0.001150809,-0.321959763,0.109371435,0.03725407,0.045192681,-0.32973301,0.062634343,0.003080125,0.090368563,-0.371373721,-0.18264638,-0.563398285,0
62361,0.500248474,-0.000356621,-0.443384797,0.080934923,0.039874539,0.048789409,0.158031529,0.061236371,0.003112791,0.014617631,0.120257489,-0.053864547,0.155786678,0
86755,-0.886395331,-0.000563682,-0.107048113,0.116802008,0.035299882,0.007515912,-0.12533891,0.05778527,0.003210874,-0.022157933,-0.290805611,-0.141454957,-0.063335199,0
38712,-0.626181597,-0.003898399,0.368582545,0.028476043,0.03142118,0.001415223,0.570709415,0.053728666,-0.001671155,-0.022134211,-2.493980054,-0.062527772,-2.979032361,0
1205,-0.61021617,-0.001520344,0.299452356,0.182197005,0.024410941,-7.44E-05,-0.211573453,0.043347288,0.00278678,-0.021495642,-0.381458058,-0.275255371,-1.196430684,0
2341,0.271365013,0.000856711,-0.078343175,0.196627865,0.066919212,0.00032041,0.514010888,0.07788901,0.003571558,-0.022336999,0.584047789,0.229755355,-0.068664026,0
61741,0.112747351,-0.000638381,-0.443384797,0.038115442,0.039217851,-0.013277366,0.546494038,0.058470425,0.003210874,-0.029595357,-0.510279991,-0.183823496,-0.309080325,0
33800,-0.924308643,-0.001580722,-0.395975787,-0.099948644,0.015039816,-7.44E-05,-0.643691801,0.001751394,0.001623667,-0.020897163,-0.76093676,-0.111899427,0.406845116,0
53278,-0.416302808,-0.001450958,-1.076168467,-0.102188343,0.028219142,0.022669186,-0.483110161,0.04461296,0.002106473,-0.021104791,1.912673682,0.695562457,4.58996619,0
50690,-0.416302808,0.000649128,-0.555291574,0.118066325,0.042511554,0.008612052,-0.462266703,0.075647501,0.003309082,0.044716735,0.290434528,0.093655444,-0.363731018,0
89405,1.028260469,-0.001578329,-0.507409441,-0.303325222,0.01337487,0.073135537,0.250814616,0.03859283,0.002849749,-0.00170839,-1.663473202,0.964273936,-0.409175084,0
43866,-1.063757102,-0.000979201,0.403827331,0.121903273,0.036601597,0.007515912,-0.410700654,0.061934119,0.003276332,-0.022686947,0.729923637,0.148258687,1.03484411,0
20870,-0.547917457,0.002055524,0.01028923,0.150555536,0.041850775,0.004470982,0.806376316,0.059158126,0.003407412,-0.022380054,0.645156238,0.435291647,1.097109183,0
90487,-0.440332725,-0.003532593,-0.939256399,0.067919327,0.030733315,-0.226921281,0.687677389,0.053242948,-0.001147419,-0.025000886,-0.897629111,-0.146939591,-0.106794819,0
85007,-0.26984575,-0.000601073,-0.555291574,0.110591501,0.038562205,0.06566707,0.729078904,0.05778527,0.003080125,-0.000314683,0.201041242,0.130098952,0.155452984,0
28984,-0.160365295,0.004754876,-0.5336555,0.140662811,0.04053226,0.008174638,0.586784164,0.059158126,0.003276332,-0.009907678,0.156884355,-0.017495324,-0.062395818,0
55000,0.177029557,-0.001186599,-0.049220379,0.018350858,0.034650657,-7.44E-05,0.023397184,0.056422662,0.003080125,-0.019982703,0.668633861,-0.179634938,-0.021804225,0
41627,0.112747351,0.019998335,2.442003728,0.235772934,0.965446641,-7.44E-05,5.703039122,0.128345848,0.021192394,-0.0184004,-1.276499759,-0.115213466,-3.007951146,0
28958,0.185932825,-0.000347155,-0.395975787,0.114295542,0.037907609,0.008320594,-0.380121444,0.064042171,0.003112791,0.068429878,-0.344632518,-0.157728713,-0.118849458,0
5322,2.108031003,-0.001319658,3.178912708,-0.110461284,-0.000766361,4.74E-06,-1.016498266,-9.673405008,0.002917012,0.116056045,2.943621638,-0.115213466,3.111602359,0
27055,-0.812968982,0.001933073,-0.638192172,0.12712085,0.037907609,0.007955415,-0.710203846,0.076392434,0.003505861,-0.017087738,0.010453873,0.001731296,-0.020252721,0
34807,1.207931818,-0.0008512,0.586949852,0.091868291,0.039874539,0.004846552,-0.504081311,0.071225539,0.003145471,0.008020376,2.019056652,0.353743521,0.867551133,0
83607,1.953643426,-0.001275511,-2.562780931,-0.828981178,0.005858996,-0.002241535,3.952560431,0.050419193,0.00268925,-0.023943923,-1.736413811,0.017377715,1.029262683,0
62070,1.242024312,-0.000347155,0.040681249,0.166768853,0.045830368,-7.44E-05,2.509807268,0.057102678,0.003112791,0.005393327,0.035247377,-0.047478128,0.010141234,0
48770,-1.043164704,-0.000684897,1.345555619,0.172862512,0.039874539,0.00039912,0.322627266,0.05984836,0.003210874,-0.022400852,-0.707319283,-0.23558596,-0.669544028,0
85906,0.51340624,-0.001802529,2.678403501,-0.486180928,-0.042355232,4.74E-06,-1.016498266,0.054398229,0.000855823,-0.028933993,2.159881765,-1.425826763,-0.068664026,0
12573,0.319669658,0.000767584,-0.576560433,0.19337701,0.047833347,-7.44E-05,0.104702879,0.069045676,0.003309082,-0.022537685,-0.20051125,0.073722666,-0.377199949,0
63447,1.601574201,-0.001177663,0.475689012,-0.131110515,0.037907609,-7.44E-05,0.634684556,0.05778527,0.003145471,0.010578104,0.363077566,0.072016632,-0.152732336,0
6754,-1.722845889,-0.000195094,-0.217741683,0.232242748,0.036601597,-7.44E-05,-0.050271517,0.058470425,0.003309082,-0.021904659,0.01691706,-0.130509147,-0.453815757,0
49409,1.089636431,0.000836884,2.214638139,0.223521218,0.050517257,-7.44E-05,2.136309958,0.059158126,0.003178165,-0.006562014,0.292546757,-0.043495123,0.041772244,0
57702,1.846624773,-0.00261208,1.392449793,-0.021659132,0.025043139,0.007442522,-0.7781536,0.016245207,0.002949606,0.05739499,1.675171984,2.958384031,1.837964583,0
71573,1.792633681,0.001780468,0.512310984,0.150555536,0.043836116,0.004470982,-0.349803422,0.074164397,0.003080125,0.086124204,0.142840599,0.058212223,0.586438234,0
58299,0.194768446,-0.001213359,1.786397615,0.142055467,0.030778619,-7.44E-05,-0.359880851,0.050419193,0.003047473,-0.019241048,-0.071268656,0.11194796,0.470920408,0
9921,-0.502772782,-0.002765284,-0.217741683,0.13516164,0.028857421,0.004921514,0.814040449,0.052397313,0.002267961,-0.021340976,-0.499804271,-0.05136397,-0.066920435,0
48476,-0.444578622,6.12E-06,-0.107048113,0.15929934,0.037907609,0.003715897,-0.231006536,0.061236371,0.003178165,-0.015174982,-0.359123039,0.115032649,-0.174663299,0
50291,1.393255002,-0.001709134,-1.266156746,-2.369824919,-0.530710912,-7.44E-05,-1.016498266,0.054398229,-0.008059056,-0.033158106,-4.942269127,-0.115213466,-3.493144591,0
29308,-0.207952334,-0.00031873,1.16309361,0.172862512,0.041191008,0.004245019,0.279915916,0.061236371,0.003276332,-0.019276997,0.271333473,-0.109131485,-0.114668205,0
31912,2.255112999,-0.001266658,-2.028784318,-1.386748438,-0.051809186,-7.44E-05,-0.871173845,-0.358459873,0.002884433,-0.14744297,-4.089636574,3.190117586,-0.068664026,0
40420,-0.675052886,-0.001363609,-1.347812032,-0.212012725,0.017519073,0.029224552,-0.789625549,-0.017339509,-0.001106308,-0.016843604,-0.91165042,-0.59105661,-0.068664026,0
9139,-0.626181597,-0.000823613,-0.296503066,0.13516164,0.03725407,0.006188494,-0.0689039,0.05984836,0.003145471,-0.021989908,0.363361329,0.129414521,0.601859106,0
88139,0.380911613,-0.001257795,-0.805193943,0.106952558,0.033355515,0.001492863,-0.721426272,0.05778527,0.003014836,-0.008046961,0.077333547,3.849734071,0.866349833,0
4996,0.112747351,0.000590067,0.741877921,0.182197005,0.043836116,-7.44E-05,0.682111203,0.060541113,0.003276332,-0.019664618,0.096966758,-0.070687017,0.098905596,0
1921,-0.777407048,-0.001051768,0.549397088,0.183775162,0.035950198,0.003867348,0.122554907,0.05778527,0.003145471,-0.022614512,-0.122242707,-0.061606866,-0.130596443,0
33895,1.51005811,-0.000712741,-2.41735727,-0.40603033,0.021891811,-0.009365482,0.149190479,0.04461296,0.037936957,-0.022835442,-0.717381063,-0.059619504,-0.068664026,0
91293,-0.099790053,-0.001334904,-0.642065407,0.065932848,0.027315143,0.002540202,-0.288350359,0.046062868,0.002787251,-0.02747389,1.424401477,23.22453402,0.968945065,0
